perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2840877805380,1788986001.4720223,baseline,14.425,1.205,11.967,1354700
2840887804220,1788986001.482025,baseline,14.45,1.207,11.966,1358640
2840897805350,1788986001.4920213,baseline,14.425,1.205,11.967,1353760
2840907805780,1788986001.502023,baseline,14.437,1.206,11.966,1355090
2840917804150,1788986001.5120194,baseline,14.437,1.206,11.967,1353340
2840927804280,1788986001.522025,baseline,14.412,1.205,11.967,1358760
2840937804100,1788986001.5320168,baseline,14.437,1.207,11.966,1350720
2840947805200,1788986001.5420227,baseline,14.412,1.205,11.966,1355420
2840957804450,1788986001.5520184,baseline,14.437,1.207,11.966,1351940
2840967805630,1788986001.5620236,baseline,14.425,1.205,11.966,1355870
2840977806090,1788986001.5720215,baseline,14.437,1.206,11.966,1353190
2840987804330,1788986001.5820212,baseline,14.437,1.207,11.967,1354500
2840997805490,1788986001.5920203,baseline,14.425,1.205,11.967,1352660
2841007804750,1788986001.602019,baseline,14.425,1.206,11.966,1351900
2841017805260,1788986001.6120183,baseline,14.412,1.205,11.966,1351300
2841027804810,1788986001.6220214,baseline,14.45,1.207,11.966,1354280
2841037805090,1788986001.632021,baseline,14.437,1.206,11.967,1353750
2841047805100,1788986001.6420264,baseline,14.437,1.206,11.967,1359230
2841057814260,1788986001.6520748,baseline,14.45,1.207,11.966,1399250
2841067808230,1788986001.662364,baseline,14.612,1.221,11.965,1694400
2841077810840,1788986001.6720366,baseline,14.525,1.214,11.965,1363740
2841087806470,1788986001.6820228,baseline,14.45,1.207,11.966,1354390
2841097805040,1788986001.692021,baseline,14.462,1.208,11.966,1353840
2841107805320,1788986001.7020242,baseline,14.437,1.206,11.966,1356720
2841117805160,1788986001.712019,baseline,14.437,1.207,11.967,1351440
2841127805670,1788986001.722024,baseline,14.45,1.207,11.967,1356580
2841137804860,1788986001.7320209,baseline,14.425,1.204,11.967,1353950
2841147805120,1788986001.7420206,baseline,14.437,1.207,11.966,1353410
2841157805040,1788986001.7520206,baseline,14.425,1.205,11.967,1353460
2841167804780,1788986001.7620194,baseline,14.45,1.207,11.966,1352420
2841177804560,1788986001.7720194,baseline,14.437,1.206,11.967,1352920
2841187806080,1788986001.782019,baseline,14.437,1.207,11.966,1350670
2841197804820,1788986001.7920206,baseline,14.437,1.207,11.967,1353250
2841207805710,1788986001.8020246,baseline,14.425,1.204,11.966,1357070
2841217805270,1788986001.8120208,baseline,14.437,1.207,11.967,1353180
2841227805200,1788986001.822017,baseline,14.425,1.206,11.966,1349690
2841237805070,1788986001.8320208,baseline,14.45,1.207,11.966,1353380
2841247804730,1788986001.842019,baseline,14.425,1.206,11.966,1352040
2841257804980,1788986001.85202,baseline,14.425,1.206,11.967,1353080
2841267805220,1788986001.8620198,baseline,14.437,1.206,11.966,1352740
2841277804800,1788986001.8720198,baseline,14.425,1.204,11.967,1352650
2841287805480,1788986001.8820317,baseline,14.437,1.207,11.967,1364220
2841297804760,1788986001.892018,baseline,14.437,1.206,11.966,1351380
2841307804250,1788986001.902141,baseline,14.45,1.208,11.966,1474880
2841317804470,1788986001.9120164,baseline,14.437,1.206,11.966,1349950
2841327804850,1788986001.9220195,baseline,14.437,1.206,11.966,1352420
2841337804020,1788986001.9320188,baseline,14.437,1.206,11.966,1352470
2841347804460,1788986001.9420226,baseline,14.425,1.205,11.967,1356070
2841357804260,1788986001.95202,baseline,14.45,1.207,11.967,1353630
2841367804130,1788986001.962021,baseline,14.437,1.206,11.966,1354940
2841377803750,1788986001.9720192,baseline,14.462,1.207,11.966,1353190
2841387804870,1788986001.9820247,baseline,14.425,1.205,11.966,1357620
2841397804710,1788986001.9920197,baseline,14.437,1.206,11.967,1352930
2841407805160,1788986002.002022,baseline,14.437,1.206,11.966,1354820
2841417803840,1788986002.0120215,baseline,14.412,1.205,11.966,1355320
2841427804620,1788986002.0220208,baseline,14.437,1.206,11.967,1354120
2841437805110,1788986002.0320199,baseline,14.437,1.206,11.966,1352600
2841447805010,1788986002.04202,baseline,14.45,1.208,11.967,1353410
2841457804120,1788986002.0520167,baseline,14.425,1.205,11.966,1350210
2841467804480,1788986002.062024,baseline,14.45,1.207,11.966,1357640
