cycle,inferences,correct_unique,latency_mean_ms,latency_median_ms,latency_std_sample_ms,latency_p95_ms,latency_min_ms,latency_max_ms,cycle_duration_s,throughput_fps
312,30,29,0.15751040000000002,0.1520005,0.014835426750483636,0.1771675,0.143701,0.22113,0.007704983,3893.584190906067
313,30,29,0.15857700000000002,0.155171,0.014701576204494258,0.17634555,0.144674,0.221387,0.007526102,3986.127214326885
314,30,29,0.15511463333333333,0.15047500000000003,0.013849290397565212,0.17377809999999996,0.144685,0.216202,0.007582145,3956.663978333308
315,30,29,0.15574453333333332,0.1501115,0.013727528269699623,0.18475914999999998,0.141464,0.203029,0.007612059,3941.1150123770717
316,30,29,0.15562956666666664,0.1520155,0.01252110549455387,0.17653,0.143911,0.205881,0.007614487,3939.8583253211937
317,30,29,0.15632676666666664,0.151594,0.011790176974142887,0.17459054999999998,0.145982,0.204064,0.007747921,3872.0064388885744
318,30,29,0.1558893,0.1521655,0.013047449778959974,0.17327419999999996,0.146299,0.21474,0.007667464,3912.6365640582076
319,30,29,0.15460799999999997,0.151575,0.014654544668746139,0.17026119999999997,0.142793,0.223627,0.007592806,3951.108457136927
320,30,29,0.1556604,0.152694,0.01034286592911202,0.17798494999999998,0.144091,0.187095,0.007636954,3928.2677360633575
321,30,29,0.1537485,0.150417,0.011192341189094597,0.17447349999999998,0.144284,0.198773,0.007565791,3965.216591365001
322,30,29,0.1538646,0.151702,0.009407524836991962,0.17373989999999997,0.144304,0.183055,0.007589455,3952.853004596509
323,30,29,0.16454616666666666,0.154105,0.031638666874442646,0.21271715,0.143334,0.299644,0.007879347,3807.4221125176996
324,30,29,0.1987382,0.19865549999999998,0.02897675175080165,0.23854664999999997,0.157097,0.246558,0.008566784,3501.89756155869
325,30,29,0.2276018666666667,0.223012,0.033794507319195026,0.27756844999999997,0.181553,0.323596,0.009096102,3298.1160501498334
326,30,29,0.2056313,0.206117,0.032577167258097645,0.26651804999999995,0.15555,0.279627,0.009001827,3332.6568040021207
327,30,29,0.17795096666666668,0.169465,0.029096966874138493,0.23243249999999996,0.148549,0.273569,0.008187595,3664.079622892925
328,30,29,0.15973870000000004,0.156513,0.011302804663079166,0.17802855,0.148181,0.203947,0.007721785,3885.112056344485
329,30,29,0.1592408,0.15669,0.0108449536410195,0.17572269999999998,0.147718,0.202773,0.007854478,3819.477245973571
330,30,29,0.1696933,0.155188,0.037052947075446804,0.2587468499999998,0.14684,0.291089,0.008353402,3591.351164471673
331,30,29,0.22624776666666674,0.2284405,0.023686569911767673,0.25349865,0.182937,0.28683,0.008791912,3412.2270559577937
332,30,29,0.22187503333333336,0.2127765,0.035152270778157704,0.2959747499999999,0.178779,0.336063,0.009115637,3291.0481187436494
333,30,29,0.25484483333333335,0.2585565,0.03115164069635358,0.3012467999999999,0.200798,0.308907,0.009815068,3056.5249267758513
