received_perf_counter_ns,seconds_since_first_sample,timestamp_local,system_cpu_percent,process_cpu_percent,process_rss_mib,process_vms_mib,process_threads,system_memory_percent,load1,load5,load15,frequency_mean_mhz,frequency_min_mhz,frequency_max_mhz,package_temperature_c,core_temperature_mean_c,core_temperature_max_c,fan_rpm
89743911967376,5.903300708,2026-09-01T15:00:42.077715-03:00,4.9,108.2,721.09765625,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1899.5097083333333,800.0,5101.742,65.0,50.0,65.0,933.0
89744010362021,6.001695353,2026-09-01T15:00:42.176110-03:00,4.7,122.1,721.12109375,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1964.4491666666665,800.0,5100.0,65.0,50.125,65.0,933.0
89744109433734,6.100767066,2026-09-01T15:00:42.275182-03:00,5.5,111.0,721.1484375,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,2088.0157083333334,800.0,5101.816,65.0,50.4375,65.0,933.0
89744209140031,6.200473363,2026-09-01T15:00:42.374889-03:00,4.6,110.5,721.16796875,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1625.1434583333332,800.0,5100.0,68.0,53.9375,70.0,933.0
89744309270930,6.300604262,2026-09-01T15:00:42.475019-03:00,5.0,99.9,721.1875,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1695.8300416666668,800.0,5100.0,68.0,53.9375,70.0,934.0
89744411573589,6.402906921,2026-09-01T15:00:42.577321-03:00,4.9,117.1,721.21484375,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1706.7662916666668,800.0,5101.886,68.0,53.9375,70.0,934.0
89744510370509,6.501703841,2026-09-01T15:00:42.676118-03:00,5.0,111.3,721.234375,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1468.0827083333334,799.631,5100.0,68.0,53.9375,70.0,934.0
89744611773149,6.603106481,2026-09-01T15:00:42.777521-03:00,4.5,108.5,721.2578125,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1802.1479583333332,800.0,5100.054,68.0,53.9375,70.0,934.0
89744711547414,6.702880746,2026-09-01T15:00:42.877295-03:00,4.2,110.2,721.27734375,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1937.7468333333334,800.0,5100.18,68.0,53.9375,70.0,934.0
89744811917419,6.803250751,2026-09-01T15:00:42.977665-03:00,5.0,119.5,721.30078125,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1673.5786666666665,800.0,5100.0,68.0,53.9375,70.0,934.0
89744911938709,6.903272041,2026-09-01T15:00:43.077686-03:00,5.4,109.9,721.32421875,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1752.4422083333332,800.0,5100.0,68.0,53.9375,70.0,934.0
89745011790848,7.00312418,2026-09-01T15:00:43.177538-03:00,4.6,100.3,721.34375,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1604.8958333333333,800.0,5100.0,68.0,53.875,70.0,934.0
89745111625707,7.102959039,2026-09-01T15:00:43.277373-03:00,4.6,119.9,721.3671875,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1467.7001666666667,800.0,5100.0,68.0,53.8125,70.0,934.0
89745209804793,7.201138125,2026-09-01T15:00:43.375552-03:00,5.1,112.2,721.3828125,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1334.5212083333333,800.0,5100.267,72.0,53.0625,58.0,934.0
89745310037776,7.301371108,2026-09-01T15:00:43.475785-03:00,4.2,109.8,721.41015625,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1516.7039166666666,800.0,5100.63,72.0,53.1875,71.0,934.0
89745409679298,7.40101263,2026-09-01T15:00:43.575427-03:00,5.4,110.4,721.43359375,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1328.144125,800.0,5100.0,72.0,53.1875,71.0,934.0
89745509719429,7.501052761,2026-09-01T15:00:43.675467-03:00,4.2,119.9,721.44921875,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1325.927625,800.0,5100.0,72.0,53.1875,71.0,934.0
89745611651030,7.602984362,2026-09-01T15:00:43.777399-03:00,4.9,107.8,721.47265625,9756.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1647.2747083333334,800.0,5100.171,72.0,53.1875,71.0,934.0
89745711786293,7.703119625,2026-09-01T15:00:43.877534-03:00,4.6,110.0,721.5,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1516.6446666666668,800.0,5100.0,72.0,53.1875,71.0,934.0
89745810692427,7.802025759,2026-09-01T15:00:43.976440-03:00,5.1,111.3,721.51171875,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1676.491,800.0,5100.272,72.0,53.1875,71.0,934.0
89745909887246,7.901220578,2026-09-01T15:00:44.075635-03:00,4.2,100.9,721.53515625,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1464.916375,800.0,5100.0,72.0,53.1875,71.0,934.0
89746009867390,8.001200722,2026-09-01T15:00:44.175615-03:00,5.0,119.9,721.55078125,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1404.2059583333332,799.607,5100.0,72.0,53.1875,71.0,934.0
89746110395829,8.101729161,2026-09-01T15:00:44.276144-03:00,5.0,109.4,721.58203125,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1492.5634166666666,800.0,5100.275,72.0,53.25,71.0,934.0
89746209642517,8.200975849,2026-09-01T15:00:44.375390-03:00,4.6,111.0,721.6015625,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1356.706375,800.0,5100.0,72.0,53.3125,71.0,934.0
89746309215579,8.300548911,2026-09-01T15:00:44.474964-03:00,5.0,110.3,721.625,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1611.1800416666665,800.0,5100.367,73.0,53.1875,71.0,934.0
89746410244009,8.401577341,2026-09-01T15:00:44.575992-03:00,4.5,109.0,721.640625,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1496.5734166666668,800.0,5100.0,73.0,54.1875,72.0,934.0
89746510010407,8.501343739,2026-09-01T15:00:44.675759-03:00,5.0,109.9,721.66015625,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1690.5290000000002,798.613,5100.0,73.0,54.1875,72.0,932.0
89746610327048,8.60166038,2026-09-01T15:00:44.776075-03:00,5.4,120.0,721.69140625,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1556.1905,800.0,5100.0,73.0,54.1875,72.0,932.0
89746709701621,8.701034953,2026-09-01T15:00:44.875449-03:00,4.6,100.7,721.703125,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1522.71975,800.0,5100.0,73.0,54.1875,72.0,932.0
89746809905695,8.801239027,2026-09-01T15:00:44.975653-03:00,5.0,129.6,721.72265625,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1804.4726666666666,800.0,5100.0,73.0,54.1875,72.0,932.0
89746911882550,8.903215882,2026-09-01T15:00:45.077630-03:00,5.3,107.7,721.74609375,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1790.2517500000001,800.0,5100.0,73.0,54.1875,72.0,932.0
89747011789949,9.003123281,2026-09-01T15:00:45.177538-03:00,4.6,110.1,721.765625,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,2026.3707083333331,798.668,5100.0,73.0,54.1875,72.0,932.0
89747112021302,9.103354634,2026-09-01T15:00:45.277769-03:00,5.0,109.7,721.79296875,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1627.505375,800.0,5100.053,73.0,54.125,72.0,932.0
