passage,samples,accelerator_mean_ms,device_call_mean_ms,application_e2e_mean_ms,passage_duration_ms,passage_throughput_inf_s
2791,30,0.18197133333333332,0.49399,0.6986136666666667,21.77341,1377.82735915045
2792,30,0.17877733333333332,0.48844066666666663,0.6932873333333334,21.61942,1387.6412965750237
2793,30,0.17595900000000003,0.483823,0.6866960000000001,21.41215,1401.0736894706977
2794,30,0.17552633333333334,0.48241166666666674,0.6858720000000001,21.39086,1402.4681569604961
2795,30,0.17757633333333328,0.4844396666666667,0.6871866666666665,21.45585,1398.220065856165
2796,30,0.18202633333333337,0.49485066666666666,0.6998130000000001,21.81536,1375.1778563360863
2797,30,0.17642300000000002,0.48377433333333325,0.6872186666666666,21.43106,1399.8374322128725
2798,30,0.17612499999999998,0.48273133333333335,0.6862886666666665,21.39741,1402.0388448882366
2799,30,0.17646766666666666,0.48321633333333325,0.6872883333333332,21.43086,1399.8504959670308
2800,30,0.17802333333333334,0.4859076666666667,0.6900963333333333,21.54276,1392.5792238320437
2801,30,0.18267666666666663,0.49742533333333333,0.7023516666666666,21.90523,1369.5359510034818
2802,30,0.17562866666666668,0.4828470000000001,0.6863460000000001,21.40499,1401.5423506387997
2803,30,0.1762246666666667,0.48310866666666663,0.6867533333333334,21.41154,1401.1136050933283
2804,30,0.17618633333333333,0.4832296666666666,0.6869853333333336,21.42121,1400.4811119446567
2805,30,0.18125299999999997,0.499635,0.7062176666666666,22.02865,1361.8628467926994
2806,30,0.17616166666666666,0.4834393333333333,0.686349,21.40641,1401.4493789477076
2807,30,0.17578,0.48246833333333333,0.6862676666666666,21.39941,1401.907809607835
2808,30,0.176734,0.4831620000000001,0.6864586666666668,21.40847,1401.3145264467755
2809,30,0.17650166666666667,0.4830756666666666,0.6865533333333335,21.41096,1401.1515597619164
2810,30,0.18198233333333333,0.4941373333333333,0.6998093333333333,21.82579,1374.520693179949
2811,30,0.17536733333333335,0.483311,0.6863433333333333,21.40405,1401.6039020652634
2812,30,0.17617866666666665,0.4832606666666666,0.686444,21.43021,1399.8929548520523
2813,30,0.17681399999999994,0.48346833333333333,0.6865253333333335,21.4073,1401.391114246075
2814,30,0.18375366666666665,0.4954893333333333,0.7009356666666666,21.85101,1372.9342488058903
2815,30,0.176278,0.4828556666666667,0.6863866666666667,21.40923,1401.2647815918647
2816,30,0.17579666666666668,0.48427533333333334,0.6873646666666668,21.45018,1398.589662184653
2817,30,0.176842,0.4838393333333333,0.6868523333333333,21.43586,1399.5239752452198
2818,30,0.17655000000000004,0.4836253333333333,0.6868966666666666,21.42051,1400.5268782115832
2819,30,0.18218999999999996,0.49868500000000004,0.7042016666666665,21.94737,1366.9063764815555
2820,30,0.17622833333333338,0.48247333333333325,0.6853476666666667,21.38678,1402.7357086948105
2821,30,0.17615533333333333,0.4829796666666667,0.6864723333333334,21.40325,1401.6562905166272
2822,30,0.17677333333333334,0.48296366666666674,0.6857233333333334,21.38588,1402.7947412030742
2823,30,0.182141,0.4940016666666667,0.700573,21.86235,1372.22210787038
2824,30,0.17581733333333335,0.48231533333333326,0.686135,21.40107,1401.7990689250582
2825,30,0.17587433333333333,0.482737,0.6863596666666667,21.40132,1401.7826937777668
2826,30,0.17568766666666663,0.482261,0.6862416666666665,21.40248,1401.7067180999584
2827,30,0.17640466666666665,0.4838133333333333,0.6872126666666668,21.42531,1400.2131124357127
2828,30,0.1837403333333333,0.5018589999999999,0.7068139999999999,22.02758,1361.9289999173761
2829,30,0.1762343333333333,0.48306133333333345,0.686657333333333,21.44153,1399.1538850072732
2830,30,0.17586600000000002,0.48283033333333325,0.686225,21.42716,1400.0922194075183
2831,30,0.17634333333333332,0.48320233333333323,0.6865023333333334,21.40459,1401.5685420743869
2832,30,0.18125299999999994,0.4948086666666666,0.7014043333333334,21.86292,1372.1863319263848
2833,30,0.17933333333333332,0.48627133333333333,0.6898783333333333,21.5154,1394.3500934214562
2834,30,0.17571699999999998,0.4825216666666667,0.6859010000000001,21.41348,1400.9866682108654
2835,30,0.176395,0.48332733333333333,0.6867363333333334,21.41246,1401.053405353705
2836,30,0.17628100000000002,0.4832336666666667,0.6860983333333334,21.395,1402.1967749474177
2837,30,0.181489,0.4953376666666667,0.7022513333333332,21.89241,1370.3379390391465
2838,30,0.17619999999999997,0.482874,0.686539,21.41049,1401.1823176396242
2839,30,0.17597966666666665,0.48261800000000005,0.6866653333333333,21.41065,1401.171846721141
2840,30,0.17584100000000005,0.48317633333333343,0.6865716666666668,21.43205,1399.7727702203008
2841,30,0.179373,0.488867,0.69443,21.65132,1385.5968134968214
2842,30,0.17984333333333333,0.49118833333333345,0.696319,21.71439,1381.572312185606
2843,30,0.177232,0.4841446666666667,0.6875959999999999,21.45541,1398.2487400613645
2844,30,0.1758293333333333,0.482566,0.6863313333333332,21.40411,1401.5999730892804
2845,30,0.176447,0.48369033333333333,0.6879663333333335,21.44797,1398.7337729398166
2846,30,0.182687,0.49948933333333334,0.7064533333333334,22.03839,1361.2609632554827
2847,30,0.17677400000000004,0.4851573333333333,0.6882176666666666,21.46064,1397.9079841048542
2848,30,0.17560999999999996,0.4832696666666667,0.686303,21.40293,1401.6772469937528
2849,30,0.17606133333333332,0.4837923333333333,0.6867496666666667,21.41672,1400.7747218061402
2850,30,0.179148,0.48647066666666655,0.6903033333333334,21.52088,1393.9950410949739
2851,30,0.18097133333333337,0.491995,0.697458,21.77019,1378.031151772217
2852,30,0.17610733333333334,0.4832509999999999,0.6863703333333333,21.40299,1401.6733176065586
2853,30,0.17635699999999999,0.48335166666666673,0.6864253333333333,21.40375,1401.6235472755943
2854,30,0.17636,0.4829573333333333,0.686517,21.40543,1401.5135411902495
2855,30,0.18314599999999995,0.49506033333333327,0.7006993333333331,21.85694,1372.5617584163201
2856,30,0.17589833333333335,0.48307500000000003,0.6867933333333335,21.42272,1400.3823977534132
2857,30,0.17493533333333333,0.48203833333333335,0.6854353333333332,21.40155,1401.767628980144
2858,30,0.17582233333333333,0.482926,0.6858299999999999,21.38649,1402.75472973826
2859,30,0.17607166666666665,0.48323099999999997,0.6871989999999999,21.42883,1399.9831068705105
2860,30,0.18141799999999997,0.49538633333333326,0.7027973333333333,21.91422,1368.9741181753216
2861,30,0.1739133333333333,0.4806503333333333,0.6840893333333332,21.34034,1405.7882864096823
2862,30,0.1758886666666667,0.4823656666666666,0.6857073333333333,21.38297,1402.9856469891693
2863,30,0.17571833333333337,0.48218366666666673,0.6858776666666666,21.40913,1401.2713267657305
2864,30,0.18312066666666663,0.4997643333333333,0.7055926666666664,21.99183,1364.142956725293
2865,30,0.17713033333333336,0.483708,0.6868040000000001,21.43531,1399.5598850681422
2866,30,0.17683400000000005,0.4837206666666667,0.6874166666666665,21.43583,1399.5259339153185
2867,30,0.17604466666666668,0.48193100000000005,0.6856196666666668,21.39504,1402.194153411258
2868,30,0.17558333333333334,0.48219466666666666,0.6863816666666666,21.42883,1399.9831068705105
2869,30,0.18428600000000003,0.4978876666666667,0.7037903333333333,21.94175,1367.256485922955
2870,30,0.17590933333333333,0.4836116666666666,0.6866389999999999,21.41546,1400.857137787374
2871,30,0.17619866666666664,0.4830486666666666,0.6868970000000001,21.41789,1400.6982013634397
2872,30,0.17599266666666663,0.482978,0.6860959999999999,21.3956,1402.157452934248
2873,30,0.18300999999999995,0.49435933333333343,0.7003533333333334,21.83398,1374.0051058029733
2874,30,0.17638299999999996,0.4832633333333333,0.6868639999999999,21.45757,1398.107987064705
2875,30,0.18163800000000002,0.487628,0.6923033333333334,21.58761,1389.6860282356406
2876,30,0.18044233333333334,0.48654366666666665,0.6905673333333335,21.53024,1393.3890193513867
2877,30,0.17596099999999998,0.4821483333333333,0.6857199999999999,21.39729,1402.046707784023
2878,30,0.18248133333333333,0.494983,0.7011249999999999,21.87271,1371.572155439358
2879,30,0.17666099999999998,0.4836433333333333,0.6875006666666665,21.44052,1399.2197950422844
2880,30,0.17595433333333332,0.4836770000000001,0.6867256666666666,21.42825,1400.0210003150048
2881,30,0.17551166666666668,0.48214766666666675,0.685789,21.40253,1401.7034434714028
2882,30,0.180907,0.49619633333333335,0.7027773333333334,21.90459,1369.575965585295
2883,30,0.17814599999999997,0.48636699999999994,0.6898673333333335,21.5169,1394.2528895891137
2884,30,0.17606200000000002,0.4827746666666667,0.6859339999999998,21.39026,1402.5074964025682
