perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2454051794600,1788985614.6500144,benchmark,14.812,1.239,11.961,5358480
2454061495270,1788985614.6594925,benchmark,14.812,1.238,11.961,5136270
2454072102820,1788985614.6702902,benchmark,14.825,1.238,11.96,5326230
2454081612230,1788985614.6788533,benchmark,14.812,1.238,11.96,4380080
2454091578110,1788985614.6880245,benchmark,14.825,1.239,11.961,3585760
2454101661250,1788985614.6986983,benchmark,14.812,1.238,11.96,4176330
2454111806020,1788985614.7102113,benchmark,14.825,1.239,11.96,5544040
2454121911650,1788985614.722038,benchmark,14.812,1.238,11.96,7264990
2454131580840,1788985614.731501,benchmark,14.812,1.238,11.96,7060020
2454141598690,1788985614.739391,benchmark,14.812,1.237,11.96,4931480
2454151577020,1788985614.7490597,benchmark,14.825,1.238,11.96,4622040
2454161620010,1788985614.759048,benchmark,14.825,1.238,11.961,4567120
2454171615110,1788985614.7690856,benchmark,14.812,1.238,11.96,4609540
2454181500380,1788985614.776807,benchmark,14.825,1.239,11.96,2446010
2454191901290,1788985614.789564,benchmark,14.8,1.236,11.961,4801400
2454201780990,1788985614.7994015,benchmark,14.812,1.238,11.96,4759350
2454211604650,1788985614.8106024,benchmark,14.812,1.239,11.96,6137420
2454221764800,1788985614.819762,benchmark,14.812,1.239,11.96,5135950
2454231615200,1788985614.8309758,benchmark,14.812,1.239,11.961,6499490
2454241601240,1788985614.839392,benchmark,14.825,1.238,11.96,4929820
2454251594320,1788985614.8501985,benchmark,14.812,1.238,11.96,5742990
2454261703110,1788985614.8597336,benchmark,14.812,1.238,11.96,5169200
2454271570000,1788985614.8701863,benchmark,14.812,1.238,11.96,5755370
2454281889590,1788985614.879098,benchmark,14.812,1.238,11.96,4347530
2454291682570,1788985614.8895216,benchmark,14.825,1.238,11.96,4978400
2454302023320,1788985614.8998206,benchmark,14.812,1.237,11.96,4936410
2454311497040,1788985614.9095042,benchmark,14.812,1.238,11.96,5146180
2454321902570,1788985614.9185581,benchmark,14.812,1.238,11.96,3794290
2454331846320,1788985614.9298866,benchmark,14.8,1.238,11.96,5179450
2454341550400,1788985614.9393659,benchmark,14.812,1.238,11.961,4954970
2454351574550,1788985614.9490268,benchmark,14.825,1.239,11.96,4591280
2454361750850,1788985614.9599438,benchmark,14.825,1.238,11.961,5331760
2454372033380,1788985614.9708166,benchmark,14.812,1.238,11.96,5921930
2454381612410,1788985614.9778273,benchmark,14.812,1.238,11.96,3354230
2454391562830,1788985614.9898202,benchmark,14.787,1.236,11.96,5395990
2454401682380,1788985615.0002742,benchmark,14.825,1.239,11.961,5730750
2454411593940,1788985615.0097902,benchmark,14.825,1.239,11.96,5335140
2454422415230,1788985615.0190973,benchmark,14.812,1.239,11.96,3820980
2454431651150,1788985615.0298543,benchmark,14.812,1.238,11.96,5342060
2454441903140,1788985615.041276,benchmark,14.812,1.238,11.961,6511780
2454451711800,1788985615.0487492,benchmark,14.812,1.238,11.96,4176000
2454461674170,1788985615.0598779,benchmark,14.812,1.238,11.96,5342650
2454471552470,1788985615.0699394,benchmark,14.825,1.239,11.961,5526110
2454481619860,1788985615.0796108,benchmark,14.812,1.238,11.96,5129870
2454492052930,1788985615.0898552,benchmark,14.825,1.238,11.961,4941030
2454501711200,1788985615.0985575,benchmark,14.825,1.238,11.961,3984820
2454511500130,1788985615.1093082,benchmark,14.825,1.238,11.961,4946870
2454521493440,1788985615.118741,benchmark,14.812,1.238,11.96,4386330
2454531854760,1788985615.1294732,benchmark,14.812,1.238,11.96,4757110
2454541878370,1788985615.1393204,benchmark,14.812,1.239,11.96,4580720
2454552113580,1788985615.149765,benchmark,14.812,1.238,11.961,4790610
2454561825810,1788985615.1607647,benchmark,14.825,1.238,11.96,6077820
2454571549260,1788985615.1699774,benchmark,14.8,1.238,11.96,5566950
2454581664780,1788985615.178907,benchmark,14.812,1.238,11.96,4381340
2454591656600,1788985615.1893537,benchmark,14.775,1.235,11.961,4836340
2454601572630,1788985615.2011542,benchmark,14.812,1.238,11.96,6720590
