epoch_s,monotonic_s,system_percent,process_percent,frequency_mhz,package_temp_c,rss_mib
1788467017.5148442,100337.689711199,13.1,291.9,2.5252083333333335,68.0,795.36328125
1788467017.6601307,100337.834998241,12.1,295.8,2.0151250000000003,69.0,795.36328125
1788467018.136265,100338.311132258,10.7,279.4,1.9995416666666672,69.0,795.36328125
1788467018.28654,100338.461407417,11.2,298.4,2.490958333333334,69.0,795.36328125
1788467018.4359105,100338.61077769,11.0,289.0,2.2355416666666668,69.0,795.36328125
1788467018.57843,100338.753297154,10.9,294.7,3.0162083333333327,69.0,795.36328125
1788467018.718044,100338.89291134,14.4,300.8,3.2292916666666667,69.0,795.36328125
1788467018.8650413,100339.039908038,13.1,285.8,3.200208333333333,69.0,795.36328125
1788467019.0312998,100339.206166749,10.6,288.7,2.519625,68.0,795.375
1788467019.2365885,100339.411455571,12.5,296.9,3.5664999999999996,68.0,795.375
1788467019.4013758,100339.576242982,11.7,285.5,2.729041666666667,68.0,795.375
1788467019.5676458,100339.74251281,11.8,282.7,3.5664999999999996,68.0,795.375
1788467019.7291446,100339.904011738,14.0,291.0,2.11725,68.0,795.375
1788467019.9024978,100340.077364957,13.1,288.4,3.3854166666666674,68.0,795.375
1788467020.0670633,100340.241930648,10.8,285.6,2.053916666666667,68.0,795.375
1788467020.228132,100340.402999206,10.5,285.7,3.5718749999999986,69.0,795.375
1788467020.4372737,100340.612141001,12.1,282.1,3.5664166666666657,69.0,795.375
1788467020.5951803,100340.770047383,10.7,291.3,2.0889583333333337,69.0,795.375
1788467020.7560816,100340.930948824,9.8,285.9,2.966958333333334,69.0,795.375
1788467020.9210346,100341.09590171,11.9,284.4,2.3522083333333335,69.0,795.375
1788467021.0825396,100341.25740656,14.4,285.1,3.5666249999999997,69.0,795.375
1788467021.2233586,100341.398225741,12.5,277.3,2.7164583333333336,69.0,795.375
1788467021.3556654,100341.530532292,11.6,287.2,3.566208333333332,69.0,795.375
1788467021.5372539,100341.71212091,13.0,297.4,3.5680416666666654,69.0,795.375
1788467021.679812,100341.854679126,11.7,280.5,2.106125,69.0,795.375
1788467021.8235033,100341.998370503,10.3,299.3,3.167,69.0,795.375
1788467021.9606538,100342.135520848,12.1,298.9,2.3195416666666673,69.0,795.375
1788467022.1005797,100342.27544696,13.8,285.9,3.566541666666666,69.0,795.375
1788467022.2417488,100342.41661587,14.2,276.0,3.5662083333333325,69.0,795.375
1788467022.3805082,100342.555375272,13.8,288.6,3.5664999999999982,69.0,795.375
1788467022.5150669,100342.689933896,13.4,289.8,3.584708333333333,69.0,795.375
1788467022.7046053,100342.879472534,14.2,290.2,3.5662083333333325,69.0,795.375
1788467022.8395708,100343.014437631,10.8,288.6,3.5667083333333323,69.0,795.375
1788467022.9759552,100343.150822679,11.0,278.8,2.582208333333333,69.0,795.375
1788467023.1219347,100343.296801701,10.1,294.3,2.658958333333333,69.0,795.375
1788467023.2603328,100343.435199901,12.5,282.3,3.1799166666666667,69.0,795.375
1788467023.397288,100343.572155248,10.4,292.0,3.567999999999999,69.0,795.375
1788467023.5380473,100343.712914308,14.2,297.8,2.4558750000000007,69.0,795.375
1788467023.6751864,100343.850053491,10.2,284.2,1.9997083333333334,67.0,795.375
1788467023.863418,100344.038285332,12.9,287.4,3.060916666666666,67.0,795.375
1788467024.002822,100344.177689087,11.3,294.2,3.295666666666666,67.0,795.375
1788467024.1434376,100344.318304904,12.3,290.7,2.7289166666666667,67.0,795.375
1788467024.2833312,100344.458198263,12.2,272.5,3.058666666666667,67.0,795.375
1788467024.6754777,100344.850345046,11.6,282.8,2.0700833333333333,67.0,795.375
1788467024.8406796,100345.015546812,10.2,284.7,2.066875,70.0,795.375
1788467025.0744786,100345.249345514,13.2,286.9,3.5665416666666654,70.0,795.375
1788467025.2398117,100345.414678501,13.4,283.9,3.2042916666666668,70.0,795.37890625
1788467025.4007049,100345.575572008,12.4,286.3,2.1203750000000006,70.0,795.37890625
1788467025.5703382,100345.745205154,9.8,288.6,2.8015000000000003,70.0,795.37890625
1788467025.7354302,100345.910297275,9.6,236.4,1.9996250000000002,70.0,795.37890625
1788467025.8750503,100346.049917506,12.4,279.3,2.331583333333333,70.0,795.37890625
1788467026.023302,100346.198169078,11.3,290.2,3.566208333333332,70.0,795.37890625
1788467026.2051275,100346.379994738,11.5,279.9,2.0222500000000005,70.0,795.37890625
1788467026.3435504,100346.518417554,10.7,289.8,3.5665416666666663,70.0,795.37890625
1788467026.477242,100346.652109098,13.5,284.2,3.566249999999999,70.0,795.37890625
1788467026.6111841,100346.786051326,12.9,305.6,3.4162083333333335,70.0,795.37890625
1788467026.7468858,100346.921753027,13.0,279.8,2.230458333333334,70.0,795.37890625
1788467026.8846111,100347.059478099,11.5,291.0,2.353708333333334,70.0,795.37890625
1788467027.021853,100347.196720083,12.1,291.5,3.2734166666666673,70.0,795.37890625
1788467027.1613085,100347.336175537,12.2,279.0,2.290666666666667,67.0,795.37890625
1788467027.3468962,100347.521763253,10.4,291.5,3.566499999999999,67.0,795.37890625
1788467027.485434,100347.660301263,11.1,288.7,2.2729166666666667,67.0,795.37890625
1788467027.6331604,100347.808027598,10.9,291.1,3.5965416666666665,67.0,795.37890625
1788467027.7711313,100347.945998646,11.8,289.8,2.3675,67.0,795.37890625
1788467027.9114838,100348.086350797,9.9,285.1,3.0827500000000008,67.0,795.37890625
1788467028.0477858,100348.222652629,10.5,286.1,3.5664583333333315,67.0,795.37890625
1788467028.1820421,100348.356909079,12.0,290.5,3.5664166666666657,67.0,795.37890625
1788467028.3175218,100348.492388865,10.8,280.5,3.566374999999999,68.0,795.37890625
1788467028.5124488,100348.687316064,11.3,286.7,2.1065416666666668,68.0,795.37890625
1788467028.6894164,100348.864283571,11.2,283.2,3.567250000000001,68.0,795.37890625
1788467028.849854,100349.024720995,11.2,286.4,3.51925,68.0,795.37890625
1788467029.0117593,100349.186626511,11.1,284.3,2.057,68.0,795.37890625
1788467029.175004,100349.349870979,12.0,288.0,3.566374999999999,68.0,795.37890625
1788467029.3344297,100349.509296871,9.8,294.8,3.5663333333333327,68.0,795.37890625
1788467029.5028863,100349.67775361,13.0,284.3,2.8123333333333327,67.0,795.38671875
1788467029.7152865,100349.890153587,11.9,287.7,3.5664583333333315,67.0,795.38671875
1788467029.8742118,100350.049078997,12.0,295.7,3.1871250000000004,67.0,795.38671875
1788467030.0387938,100350.213660885,13.5,279.1,2.9036666666666666,67.0,795.38671875
1788467030.201528,100350.376395098,13.9,295.1,3.566083333333333,67.0,795.38671875
1788467030.36022,100350.535086905,8.4,227.1,2.440291666666667,67.0,795.38671875
1788467030.5004053,100350.675272358,13.0,299.6,3.5958333333333314,67.0,795.38671875
1788467030.635263,100350.810130019,12.9,303.6,3.566499999999999,68.0,795.38671875
1788467030.8218462,100350.996713322,12.4,300.3,2.791791666666667,68.0,795.38671875
1788467030.9726136,100351.14748072,10.9,285.2,2.241541666666667,68.0,795.38671875
1788467031.3923998,100351.567267007,12.4,278.5,2.103333333333334,68.0,795.38671875
1788467031.5265908,100351.701457756,13.2,298.5,3.566541666666666,68.0,795.38671875
1788467031.6619613,100351.836828312,12.9,288.1,3.5667499999999985,68.0,795.38671875
1788467031.80236,100351.977227126,13.2,285.3,3.543999999999999,70.0,795.38671875
1788467031.9831767,100352.158043889,11.5,298.2,2.793249999999999,70.0,795.38671875
1788467032.1190073,100352.293874291,14.2,287.7,3.5939999999999994,70.0,795.38671875
1788467032.254655,100352.429522017,13.3,294.5,3.2580000000000005,70.0,795.38671875
1788467032.3904762,100352.565343437,11.7,294.9,3.4026250000000005,70.0,795.38671875
1788467032.5262132,100352.701080261,11.7,294.7,2.7350833333333333,70.0,795.38671875
1788467032.6664362,100352.841303162,10.0,292.4,2.6459583333333327,70.0,795.390625
1788467032.8101318,100352.984998977,13.5,291.5,1.999666666666667,70.0,795.390625
1788467032.9579296,100353.132796848,14.0,298.5,3.1850833333333335,67.0,795.390625
1788467033.1553526,100353.330219827,13.3,293.7,2.4490833333333333,67.0,795.390625
1788467033.3067355,100353.481602783,13.1,290.8,3.566458333333332,67.0,795.390625
1788467033.443012,100353.617879106,15.9,286.2,3.5667499999999985,67.0,795.390625
1788467033.5817564,100353.756623796,13.3,294.5,2.5546666666666664,67.0,795.390625
1788467033.7286992,100353.90356627,11.2,286.8,3.5664999999999982,67.0,795.390625
1788467033.8645148,100354.039381802,13.8,294.5,3.284416666666667,67.0,795.390625
1788467034.0026696,100354.177536695,12.6,296.8,3.5661666666666654,67.0,795.390625
1788467034.141215,100354.316081988,10.3,288.7,2.324333333333333,70.0,795.390625
1788467034.3278303,100354.502697321,14.0,294.7,2.9224166666666664,70.0,795.390625
1788467034.4677727,100354.642639627,9.4,292.5,2.685416666666667,70.0,795.390625
1788467034.6049912,100354.779858402,13.0,292.0,2.7519583333333326,70.0,795.39453125
1788467034.7461095,100354.920976463,10.9,276.3,2.489291666666666,70.0,795.39453125
1788467034.8866293,100355.061496331,11.0,291.9,2.8192500000000003,70.0,795.39453125
1788467035.0219376,100355.196804732,10.9,295.6,3.3828333333333336,70.0,795.39453125
1788467035.1584353,100355.333302381,13.0,292.5,2.576458333333333,70.0,795.39453125
1788467035.2990239,100355.473890885,13.7,299.3,3.4652916666666673,70.0,795.39453125
1788467035.4867625,100355.661629734,11.2,282.2,1.999416666666667,70.0,795.39453125
1788467035.6361458,100355.811012952,10.7,288.0,3.5665416666666654,70.0,795.39453125
1788467035.7851264,100355.95999356,14.2,302.0,3.0009583333333327,70.0,795.39453125
1788467035.926598,100356.101465385,11.8,296.9,3.5666249999999997,70.0,795.39453125
1788467036.0593696,100356.234236501,10.2,301.3,3.522833333333334,70.0,795.39453125
1788467036.1978712,100356.372738266,11.5,288.7,2.0708750000000005,70.0,795.39453125
1788467036.3416467,100356.516513907,12.4,278.2,1.999708333333334,67.0,795.39453125
1788467036.5326862,100356.707553519,14.1,293.2,2.4226666666666667,67.0,795.39453125
1788467036.674073,100356.848940297,11.5,289.9,2.125875,67.0,795.39453125
