cycle,inferences,correct_unique,latency_mean_ms,latency_median_ms,latency_std_sample_ms,latency_p95_ms,latency_min_ms,latency_max_ms,cycle_duration_s,throughput_fps
125,30,29,0.15604136666666665,0.1530895,0.011706037362104587,0.17501304999999995,0.144646,0.203242,0.007657502,3917.7266946845066
126,30,29,0.15909433333333337,0.1555515,0.015101545875045108,0.19284459999999992,0.144141,0.209303,0.007672296,3910.1723916804044
127,30,29,0.16664153333333337,0.15301900000000002,0.040502957380089334,0.21751424999999996,0.147275,0.355999,0.008031033,3735.5094917428432
128,30,29,0.1568227,0.15417550000000002,0.013291343563932231,0.17508169999999998,0.145724,0.213566,0.007849866,3821.7212879812214
129,30,29,0.16931820000000003,0.1538175,0.045978013857749966,0.2841037499999998,0.14657,0.336018,0.008349124,3593.1913336057773
130,30,29,0.1557573666666667,0.152768,0.01204652801456698,0.17146654999999997,0.144692,0.209499,0.007615155,3939.5127216714563
131,30,29,0.15987680000000004,0.1540095,0.01771621474204371,0.20498594999999997,0.146508,0.214503,0.008097714,3704.7492662744075
132,30,29,0.1588732333333333,0.1541275,0.015426710990297347,0.1934297999999999,0.145811,0.212769,0.007769958,3861.024731407814
133,30,29,0.1647378,0.153579,0.034170302316081626,0.2393012499999999,0.146042,0.301271,0.008075349,3715.0097166079136
134,30,29,0.15522213333333335,0.15380749999999999,0.007404879936782293,0.16894524999999996,0.147978,0.182453,0.007634786,3929.3832204334212
135,30,29,0.15984253333333337,0.153779,0.01961045568011129,0.19677184999999991,0.146992,0.24212,0.007786403,3852.8701892260137
136,30,29,0.16768353333333333,0.158859,0.026498799851461502,0.2197229,0.150288,0.278024,0.008020781,3740.284144399405
137,30,29,0.16983689999999996,0.16269650000000002,0.026848230383282115,0.2034290999999999,0.151062,0.295278,0.007347363,4083.097568474567
138,30,29,0.16179516666666668,0.159958,0.010221656853628639,0.1769689,0.150737,0.202756,0.0068583,4374.2618433139405
139,30,29,0.16730733333333336,0.161458,0.017436720154522366,0.1964888999999999,0.150083,0.238572,0.007203598,4164.585530730616
140,30,29,0.16820913333333334,0.16303050000000002,0.014994356307793189,0.20184749999999993,0.153017,0.212476,0.007172941,4182.384882295839
141,30,29,0.16906943333333338,0.16138950000000002,0.026650957429503266,0.21445995,0.148258,0.285258,0.007611282,3941.5173422821545
142,30,29,0.164136,0.1616555,0.011704074616162085,0.17787435,0.152193,0.212875,0.00702614,4269.769745550188
143,30,29,0.1642709333333333,0.1618865,0.012322812967974401,0.17864794999999994,0.152137,0.21882,0.006785536,4421.168791971629
144,30,29,0.190424,0.164844,0.05555082517590659,0.3052375,0.152634,0.339154,0.008229984,3645.20757270002
145,30,29,0.17093186666666668,0.163456,0.023913952335957285,0.22421304999999994,0.153748,0.260797,0.008131528,3689.34350345962
146,30,29,0.1646132333333333,0.15922,0.015258600728279689,0.19932924999999993,0.152346,0.218608,0.007088914,4231.959930674854
147,30,29,0.1647927,0.161566,0.01286946285927299,0.1821139,0.153079,0.219441,0.007100144,4225.266417131821
148,30,29,0.1643741,0.1630655,0.010920861909745224,0.17883519999999997,0.15187,0.20858,0.007341212,4086.5186838358572
149,30,29,0.16760996666666667,0.162108,0.016670529984507625,0.21018934999999994,0.153785,0.219112,0.007592532,3951.2510451059015
